year;month;title_length;authors_no;pages_no;views;cited;url;title;authors
2023;1;51;5;21;770;0;https://www.vopreco.ru/jour/article/view/4138;Трендовая инфляция: оценки для российской экономики;С.М.Дробышевский, М.В.Казакова, Е.В.Синельникова-Мурылева, П.В.Трунин, Н.Д.Фокин
2023;1;69;1;19;357;0;https://www.vopreco.ru/jour/article/view/4271;Денежное агрегирование: концепция, критика и современные альтернативы;С.Р.Моисеев
2023;1;100;1;14;524;1;https://www.vopreco.ru/jour/article/view/4191;Меритократический принцип отбора управленческих кадров: исторический аспект и современное применение;А.Г.Комиссаров
2023;1;73;2;27;555;2;https://www.vopreco.ru/jour/article/view/4272;Эволюция структуры рабочих мест в России: поляризация, улучшение, застой?;В.Е.Гимпельсон, Р.И.Капелюшников
2023;1;75;1;19;329;1;https://www.vopreco.ru/jour/article/view/4150;Централизация и регионализация минимальных заработных плат: российский опыт;А.Л.Лукьянова
2023;1;83;1;18;198;0;https://www.vopreco.ru/jour/article/view/4050;Парадигмы экономического мышления в журналистике: опыт постсоветских преобразований;Д.Э.Коноплев
2023;1;66;1;9;446;0;https://www.vopreco.ru/jour/article/view/4095;Критика трудовой теории стоимости: новый взгляд на старую полемику;А.И.Колганов
2023;1;83;1;14;288;0;https://www.vopreco.ru/jour/article/view/3788;Влияние идеологии на выбор институциональной модели России: ретроспектива и прогноз;О.Э.Бессонова
2023;1;64;4;14;329;0;https://www.vopreco.ru/jour/article/view/4273;Налоговый и валютный факторы неравенства (к постановке проблемы);А.С.Танасова, Е.Ю.Соколова, И.Г.Шандра, А.В.Чигирева
2023;2;82;1;13;865;0;https://www.vopreco.ru/jour/article/view/4327;Экономика банков и финансовых кризисов (Нобелевская премия по экономике 2022 года);К.И.Сонин
2023;2;118;2;25;385;2;https://www.vopreco.ru/jour/article/view/4328;Теории роста и реалии последних десятилетий (Вопросы социокультурных кодов — к расширению исследовательской программы);Л.М.Григорьев, М.-Я.Я.Майхрович
2023;2;116;3;18;452;0;https://www.vopreco.ru/jour/article/view/4115;Влияние экономического кризиса, вызванного пандемией COVID-19, и антикризисных мер на распределение доходов в России;С.Фрейхе, М.С.Матыцин, Д.О.Попова
2023;2;36;3;22;453;1;https://www.vopreco.ru/jour/article/view/4329;Мезоинституты для цифровых экосистем;А.Е.Шаститко, А.А.Курдин, И.Н.Филиппова
2023;2;51;3;17;403;1;https://www.vopreco.ru/jour/article/view/4094;Региональные торговые соглашения:   эффект демпфера;В.Н.Зуев, Е.Я.Островская, В.Ю.Скрябина
2023;2;114;1;16;354;2;https://www.vopreco.ru/jour/article/view/4121;Публикационная активность  российских университетов: от «академического капитализма» к «академическому социализму»;Е.В.Романов
2023;2;50;2;11;284;0;https://www.vopreco.ru/jour/article/view/4209;Показатели цитирования: отказаться нельзя оставить;И.Е.Калабихина, Г.В.Калягин
2023;2;48;1;18;232;0;https://www.vopreco.ru/jour/article/view/4124;Микроуровень процессов экономической координации;С.И.Паринов
2023;2;85;1;15;249;0;https://www.vopreco.ru/jour/article/view/3309;Корпоративный веб-сайт  как стратегический ресурс   российских и европейских компаний;С.Н.Паклина
2023;3;50;1;19;369;1;https://www.vopreco.ru/jour/article/view/4265;Как возникла экономическая наука: конкурс проектов;О.И.Ананьин
2023;3;96;1;16;382;0;https://www.vopreco.ru/jour/article/view/4390;Системная методология Александра Богданова в контексте современного экономического мировоззрения;Г.Б.Клейнер
2023;3;99;1;23;339;0;https://www.vopreco.ru/jour/article/view/4020;Стоит ли ограничивать права собственности и инвестиции иностранных компаний? (Кейс фондового рынка);А.Н.Непп
